ts,sym,rule,side,trig,off,tp,sl,entry,exit,status,ret,fee,funding,hold_h,touched,recovered,pnl1x,pnl2x,queue_vol,f1,tbsi
2026-09-01 11:47:55,TRUMPUSDC,mom_s,short,0.3000,1.0000,0.8000,0.5000,2.4311,2.4116,tp,0.800,0.000,-0.00011,0.18,1,1,0.8001,1.6002,47307.8825,1,
2026-09-01 11:48:56,ARBUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.1109,0.1115,tp,0.500,0.000,0.00005,0.04,1,1,0.4999,0.9999,78076.6000,1,
2026-09-01 11:50:35,UNIUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,5.3782,5.3621,stop,-0.300,0.040,0.00006,0.05,1,1,-0.3401,-0.6801,15956.0000,1,
2026-09-01 11:50:56,CRVUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3577,0.3559,tp,0.500,0.000,-0.00027,0.22,1,1,0.5003,1.0005,61787.6571,1,
2026-09-01 11:51:33,NEARUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,1.9729,1.9789,stop,-0.300,0.040,-0.00002,0.02,1,1,-0.3400,-0.6800,5828.0000,1,
2026-09-01 11:51:34,NEARUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,1.9668,1.9766,stop,-0.500,0.040,-0.00010,0.08,1,1,-0.5399,-1.0798,104191.3433,1,
2026-09-01 11:51:46,ARBUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.1112,0.1118,tp,0.500,0.000,0.00002,0.02,1,1,0.5000,1.0000,60427.9000,1,
2026-09-01 11:52:29,NEARUSDC,adapt_s,short,0.3891,0.3891,1.2968,0.8105,1.9646,1.9805,stop,-0.811,0.040,-0.00017,0.14,1,1,-0.8504,-1.7007,73802.1562,1,
2026-09-01 11:52:39,TRUMPUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,2.4162,2.4089,stop,-0.300,0.040,0.00006,0.09,1,1,-0.3401,-0.6801,6405.9960,1,
2026-09-01 11:53:25,NEARUSDC,mom_s,short,0.3000,1.0000,0.8000,0.5000,1.9725,1.9824,stop,-0.500,0.040,-0.00006,0.05,1,1,-0.5399,-1.0799,136339.5000,0,
2026-09-01 11:53:38,ARBUSDC,mom_l,long,0.3000,1.0000,0.8000,0.5000,0.1112,0.1121,tp,0.800,0.000,0.00015,0.12,1,1,0.7998,1.5997,177794.2631,0,
2026-09-01 11:56:31,WLDUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3695,0.3677,tp,0.500,0.000,-0.00034,0.29,1,1,0.5003,1.0007,24642.2667,1,
2026-09-01 11:58:58,KAITOUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3015,0.3024,stop,-0.300,0.040,0.00045,0.50,1,1,-0.3405,-0.6809,3231.4083,1,
2026-09-01 11:58:58,KAITOUSDC,adapt_s,short,0.1695,0.1695,0.5649,0.3531,0.3014,0.3025,stop,-0.353,0.040,0.00045,0.50,1,1,-0.3935,-0.7870,1661.8333,1,
